Place,Pincode,Location
Antop Hill ,400037,Mumbai
B P T Colony ,400037,Mumbai
B.P.Lane ,400003,Mumbai
BEST Staff Quarters ,400012,Mumbai
C G S Colony ,400037,Mumbai
Chamarbaug ,400012,Mumbai
Chinchbunder ,400009,Mumbai
Cotton Exchange ,400033,Mumbai
Dadar Colony ,400014,Mumbai
Dadar ,400014,Mumbai
Dockyard Road ,400010,Mumbai
Haffkin Institute ,400012,Mumbai
Kalachowki ,400033,Mumbai
Kidwai Nagar  (Mumbai),400031,Mumbai
L B S N E collage ,400033,Mumbai
Lal Baug ,400012,Mumbai
Mandvi  (Mumbai),400003,Mumbai
Masjid ,400003,Mumbai
Mazgaon Dock ,400010,Mumbai
Mazgaon Road ,400010,Mumbai
Mazgaon ,400010,Mumbai
Naigaon  (Mumbai),400014,Mumbai
Noor Baug ,400009,Mumbai
Null Bazar ,400003,Mumbai
Parel Naka ,400012,Mumbai
Parel Rly Work Shop ,400012,Mumbai
Parel ,400012,Mumbai
Princess Dock ,400009,Mumbai
Reay Road ,400033,Mumbai
Sewri ,400015,Mumbai
Tank Road ,400033,Mumbai
V J B Udyan ,400027,Mumbai
V K Bhavan ,400010,Mumbai
Wadala Rs ,400031,Mumbai
Wadala ,400031,Mumbai
Wadala Truck Terminal ,400037,Mumbai
A I Staff Colony ,400029,Mumbai
Airport  (Mumbai),400099,Mumbai
Andheri East ,400069,Mumbai
Andheri ,400053,Mumbai
Andheri Railway Station ,400058,Mumbai
Audit Bhavan ,400051,Mumbai
Azad Nagar  (Mumbai),400053,Mumbai
B.N. Bhavan ,400051,Mumbai
Bandra West ,400050,Mumbai
Bandra(East) ,400051,Mumbai
Chakala Midc ,400093,Mumbai
Danda ,400052,Mumbai
Government Colony ,400051,Mumbai
H.M.P. School ,400058,Mumbai
Hanuman Road ,400057,Mumbai
International Airport ,400099,Mumbai
IRLA ,400056,Mumbai
J.B. Nagar ,400059,Mumbai
Juhu ,400049,Mumbai
Khar Colony ,400052,Mumbai
Khar Delivery ,400052,Mumbai
Kherwadi ,400051,Mumbai
Madh ,400061,Mumbai
Marol Bazar ,400059,Mumbai
Marol Naka ,400059,Mumbai
Nagardas Road ,400069,Mumbai
Sahar P & T Colony ,400099,Mumbai
Sahargaon ,400099,Mumbai
Santacruz Central ,400054,Mumbai
Santacruz P&t Colony ,400029,Mumbai
Santacruz(East) ,400055,Mumbai
Santacruz(West) ,400054,Mumbai
Seepz ,400096,Mumbai
V.P. Road ,400052,Mumbai
Vakola ,400055,Mumbai
Vesava ,400061,Mumbai
Vidyanagari ,400098,Mumbai
Vileeparle (East) ,400057,Mumbai
Vileparle Railway Station ,400057,Mumbai
Vileparle(West) ,400056,Mumbai
Anushakti Nagar ,400094,Mumbai
BARC ,400085,Mumbai
Barve Nagar ,400084,Mumbai
Best Staff Colony ,400075,Mumbai
Bhandup Complex ,400082,Mumbai
Bhandup East ,400042,Mumbai
Bhandup Ind. Estate ,400078,Mumbai
Bhandup West ,400078,Mumbai
Chembur Extension ,400074,Mumbai
Chembur ,400071,Mumbai
Chembur Rs ,400089,Mumbai
Chunabhatti ,400022,Mumbai
D.M. Colony ,400043,Mumbai
FCI ,400074,Mumbai
Ghatkopar West ,400086,Mumbai
Govandi ,400088,Mumbai
J.M. Road ,400078,Mumbai
Kannamwar Nagar ,400083,Mumbai
Kurla North ,400070,Mumbai
Kurla ,400070,Mumbai
Mahul Road ,400074,Mumbai
Matunga ,400019,Mumbai
Mhada Colony ,400081,Mumbai
Mulund Colony ,400082,Mumbai
Mulund Dd Road ,400080,Mumbai
Mulund East ,400081,Mumbai
Mulund West ,400080,Mumbai
Nahur ,400080,Mumbai
Nehru Nagar  (Mumbai),400024,Mumbai
Nehru Road  (Mumbai),400080,Mumbai
Netajinagar ,400070,Mumbai
NITIE ,400087,Mumbai
P.H. Colony ,400078,Mumbai
Pant Nagar ,400075,Mumbai
Powai Iit ,400076,Mumbai
Psm Colony ,400079,Mumbai
R.A.Nagar ,400075,Mumbai
Rajawadi ,400077,Mumbai
Raoli Camp ,400022,Mumbai
Rifle Range ,400086,Mumbai
S.B. Road ,400080,Mumbai
Sahakar Bhavan ,400086,Mumbai
Sakinaka ,400072,Mumbai
Shivaji Nagar  (Mumbai),400043,Mumbai
Sindhi Society ,400071,Mumbai
Sion ,400022,Mumbai
T.F.Donar ,400088,Mumbai
Tagore Nagar ,400083,Mumbai
Tilak Nagar  (Mumbai),400089,Mumbai
Transit Camp ,400022,Mumbai
Trombay ,400088,Mumbai
Usha Nagar ,400078,Mumbai
Vihar Road ,400072,Mumbai
Vikhroli ,400079,Mumbai
Aareymilk Colony ,400065,Mumbai
Bangur Nagar ,400104,Mumbai
Borivali East ,400066,Mumbai
Borivali ,400091,Mumbai
Borivali West ,400092,Mumbai
Charkop ,400067,Mumbai
Dahisar RS ,400068,Mumbai
Dahisar ,400068,Mumbai
Daulat Nagar  (Mumbai),400066,Mumbai
Goregaon East ,400063,Mumbai
Goregaon RS ,400104,Mumbai
Goregaon  (Mumbai),400104,Mumbai
Ins Hamla ,400095,Mumbai
Jogeshwari East ,400060,Mumbai
Jogeshwari West ,400102,Mumbai
Kandivali East ,400101,Mumbai
Kandivali RS ,400067,Mumbai
Kandivali West ,400067,Mumbai
Ketkipada ,400068,Mumbai
Kharodi ,400095,Mumbai
Liberty Garden ,400064,Mumbai
Magthane ,400066,Mumbai
Malad East ,400097,Mumbai
Malad ,400064,Mumbai
Malad West Dely ,400064,Mumbai
Mandapeshwar ,400103,Mumbai
Motilal Nagar ,400104,Mumbai
Nagari Niwara ,400065,Mumbai
Orlem ,400064,Mumbai
Oshiwara ,400102,Mumbai
Rajendra Nagar  (Mumbai),400066,Mumbai
Rani Sati Marg ,400097,Mumbai
S R P F Camp ,400065,Mumbai
S. K.Nagar ,400066,Mumbai
Sharma Estate ,400063,Mumbai
Ambewadi  (Mumbai),400004,Mumbai
Asvini ,400005,Mumbai
Bazargate ,400001,Mumbai
Central Building ,400020,Mumbai
Charni Road ,400004,Mumbai
Chaupati ,400004,Mumbai
Churchgate ,400020,Mumbai
Colaba Bazar ,400005,Mumbai
Colaba ,400005,Mumbai
Elephanta Caves,400001,Mumbai
Girgaon ,400004,Mumbai
High Court Building  (Mumbai),400032,Mumbai
Holiday Camp ,400005,Mumbai
Kalbadevi ,400002,Mumbai
M.P.T. ,400001,Mumbai
Madhavbaug ,400004,Mumbai
Mantralaya  (Mumbai),400032,Mumbai
Marine Lines ,400020,Mumbai
Nariman Point ,400021,Mumbai
New Yogakshema ,400021,Mumbai
Opera House ,400004,Mumbai
Ramwadi ,400002,Mumbai
S. C. Court ,400002,Mumbai
Secretariate ,400032,Mumbai
Stock Exchange ,400001,Mumbai
Tajmahal ,400001,Mumbai
Thakurdwar ,400002,Mumbai
Town Hall  (Mumbai),400001,Mumbai
V.W.T.C. ,400005,Mumbai
Agripada ,400011,Mumbai
Bharat Nagar  (Mumbai),400007,Mumbai
Bhawani Shankar Rd ,400028,Mumbai
Bhawani Shankar ,400028,Mumbai
BPC  Jacob Circle ,400011,Mumbai
Century Mill ,400030,Mumbai
Chinchpokli ,400011,Mumbai
Cumballa Hill ,400026,Mumbai
Cumballa Sea Face ,400026,Mumbai
Delisle Road ,400013,Mumbai
Dharavi Road ,400017,Mumbai
Dharavi ,400017,Mumbai
Dr Deshmukh Marg ,400026,Mumbai
Falkland Road ,400008,Mumbai
Gokhale Road  (Mumbai),400028,Mumbai
Gowalia Tank ,400026,Mumbai
Grant Road ,400007,Mumbai
Haines Road ,400011,Mumbai
Haji Ali ,400034,Mumbai
J.J.Hospital ,400008,Mumbai
Jacob Circle ,400011,Mumbai
Kamathipura ,400008,Mumbai
Kapad Bazar ,400016,Mumbai
M A Marg ,400008,Mumbai
Mahim Bazar ,400016,Mumbai
Mahim East ,400016,Mumbai
Mahim ,400016,Mumbai
Malabar Hill ,400006,Mumbai
Mori Road ,400016,Mumbai
